Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Wisteria/BDEC-01 (Odyssey),16403.77855176562,388881.3126658839,236255.4307308265,2565.1145819972153,1345.9985989284746,29765.271186273378,7603.2234906414305,152.07808507069484,682972.2078913872
Piz Daint,1624.4716038933516,0.0,8240.073353082164,31117.20761743546,9762.973440541684,24619.32120186201,6764.259399068971,65.75242206234786,82194.05903794599
Trinity,19468.122046104312,987536.9790706157,1574830.4995563712,10014.317229498345,16593.864044904145,35312.92406537928,20384.759947753017,8721.480760287592,2672862.946720914
Hawk,81898.70682462012,858765.732700727,288145.7818102577,3617.452092157133,812.4411141266655,93453.94072782737,22863.485707720043,12216.29015640167,1361773.8311338378
Frontier TDS,792.9982334874809,40225.50701356774,64147.83106623832,407.9148391287459,675.920607194549,1438.4071733681628,830.3357966604295,355.25351751567985,108874.1682471611
Helios GPU,3511.3120711111055,158630.4096711111,13571.853037037035,107.26035911111109,0.0,5824.958577777771,1103.2494079999994,497.9757463703702,183247.01887051848
Pégaso,17896.37230432709,20416.951400768317,27083.551417594423,14992.419529431558,252.20275386297948,9438.049300316847,3595.8446395019446,1594.749333968983,95270.14067977214
Guru,22784.735668115663,891797.7095035737,444997.8332437843,476.5378791579111,11623.016460704343,22120.373174424723,7565.360816685379,210.4440645402882,1401576.0108109864
Maru,22784.735668115663,891797.7095035737,444997.8332437843,476.5378791579111,11623.016460704343,22120.373174424723,7565.360816685379,210.4440645402882,1401576.0108109864
PANGEA III,5809.836416331131,4709.557098675336,40949.90741281044,3394.327128435546,10709.7753399078,15491.124467526346,2968.6801657232845,1486.4007799887183,85519.6088093986
AOBA-S,15518.890797328071,367903.44403508597,223510.83430059892,2426.74167753648,1273.3898597941788,28159.609179978426,7193.074125366297,143.87436330179273,646129.8583389902
HiPerGator AI,1496.7751742154041,75925.18838705121,121078.30379072967,769.9346336710548,1275.79248208423,2714.977230204395,1567.249401348536,670.5369862322163,205498.7580855367
SuperMUC-NG Phase 2,15220.906000515062,159601.94001465957,53552.00380356187,672.3048554844586,150.99249192733595,17368.45064284157,4249.187567107114,2270.4021999247207,253086.1875760217
preAlps,163.71853575962717,0.0,830.4563408096975,3136.074312314853,983.9382310622091,2481.2001692763406,681.7199153618274,6.626702637889461,8283.734207222446
Cori,10119.282239559372,513309.1620009178,818576.8646167965,5205.314731528217,8625.27948600275,18355.208811381344,10595.738962826978,4533.314777420834,1389320.1656264337
,10109.554857870158,239665.32778956302,145602.8700890963,1580.865439117521,829.5312346202791,18344.166313109843,4685.823131098852,93.72485362749254,420911.8637081035
,10109.554857870158,239665.32778956302,145602.8700890963,1580.865439117521,829.5312346202791,18344.166313109843,4685.823131098852,93.72485362749254,420911.8637081035
HPC4,19204.798537588544,57298.19483585952,291500.9216238861,4577.420976464315,0.0,46872.1151649021,7482.647574072658,1359.1355015614288,428295.2342143346
Tera-1000-2,13506.700900585467,10948.772830717056,95200.29682363686,7891.1277353095575,24898.073175001457,36013.74803057698,6901.584174592977,3455.5827935655793,198815.88646398595
Carpenter,2825.897553570782,143346.04676339414,228594.70705216457,1453.6293995128303,2408.684294136335,5125.851660959503,2958.9522363822484,1265.967569221355,387979.7365293418
,1117.2954986321743,239494.64724482177,131281.38353643368,237.7692883788674,568.2915721035985,4766.872206629457,1558.7097793725784,126.86532632252045,379151.83445269463
MeluXina - Accelerator Module,16534.276315789477,0.0,5032.1710526315765,575.1052631578946,0.0,12323.68421052631,4600.842105263158,1928.9989035087717,40995.07785087719
Earth Simulator -SX-Aurora TSUBASA,15542.80366251934,368470.3418614518,223855.23935629643,2430.4810135075113,1275.352010340301,28202.999970399836,7204.157843533854,144.09605751299932,647125.4717755622
,25424.301879989693,266591.7458150914,89450.80607777492,1122.987133659541,252.2109193922222,29011.46175637393,7097.647633273242,3792.3754944630437,422743.536710018
JURECA Data Centric Module,8053.933041462785,84451.17118009471,28336.306186731115,355.74086649894,79.89560015055756,9190.276748747001,2248.399152122665,1201.3520939400541,133917.07486974783
Goethe-NHR,4093.8554725727518,42926.96345014759,14403.489768022346,180.8249069910259,40.61134333089002,4671.464807147525,1142.8728207769568,610.6534309316745,68070.73599992075
