Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Cheyenne,2218.3295795530635,112526.64670926442,179446.84503594917,1141.0990786175719,1890.817170897023,4023.7935538532092,2322.777505560065,993.7845418387637,609128.1863510667
Derecho GPU partition,217.11884703639512,11013.537402007507,17563.3469695579,111.68498972711532,185.06359374448397,393.82850284181126,227.3416802344052,97.26659010249347,59618.37715050423
JEDI,705.688926088076,7399.646357891401,2482.8388042552347,31.170161057073223,7.000485350343698,805.2558291566788,197.0056585907011,105.26296464866577,23467.73837407635
Wisteria/BDEC-01 (Aquarius),1027.6386202405486,24362.036729780662,14800.565863188325,160.6953423251866,84.32204438042041,1864.6888042545172,476.31501928939997,9.527153333464886,85571.57915358506
Atlas,4734.655940996662,5401.499175523692,7165.2117782327,3966.3875442384815,66.72264337193965,2496.925937351008,951.3149869598128,421.9061427690062,50409.2482988866
Advanced Computing System(PreE),864.1056324851265,94563.00516195734,3027.357422467567,600.2348093310599,104.77849462820271,886.0088016499608,563.1795881216832,204.6204909515105,201626.5808031849
CRONOS,2604.289986578746,2111.08394701521,18356.013179086167,1521.5251374219513,4800.713596312073,6943.978701056168,1330.7266289315498,666.2870328820679,76669.23641856787
SNL/NNSA CTS-1 Manzano,1233.1189324672503,62551.00222402654,99750.41762276272,634.3110106965078,1051.06223744131,2236.735270236874,1291.179157694072,552.422212023864,338600.4973346983
Noctua 2,9108.010661859384,95503.9188375364,32044.887577012225,402.2992975296656,90.35212662691406,10393.076051427322,2542.6637326412965,1358.5819032667048,302887.58037579985
JOLIOT-CURIE SKL,1948.6539845558327,1579.6137013479454,13734.844585789018,1138.477679873956,3592.1228919880955,5195.816070490731,995.7131353212335,498.54773783820576,57367.57957441005
Abel,2312.0979983760944,117283.12917004977,187032.03304268006,1189.3331450559522,1970.741695202456,4193.878631694138,2420.9609206763853,1035.7916475447448,634875.9325025592
Alex,1876.3504249291777,19674.85824798431,6601.599477010242,82.87808237088686,18.61353235999126,2141.0880366092824,523.8167095227718,279.8828225103508,62398.17466659402
Deucalion,3471.8548685383207,0.0,21691.2606060606,1072.194064171123,0.0,3222.4411764705824,892.5185561497317,619.0382737299465,61938.61509024061
,25161.418123275063,10759.410855565744,159183.17608095676,405.65939282428576,1601.3074885004598,24374.467341306343,2095.7775896964085,3064.7127598896036,453291.85926402936
,25161.418123275063,10759.410855565744,159183.17608095676,405.65939282428576,1601.3074885004598,24374.467341306343,2095.7775896964085,3064.7127598896036,453291.85926402936
Gemini,2486.088505005748,2836.2367144339337,3762.332650943659,2082.683642278246,35.03494209035581,1311.093973470927,499.51956027931175,221.53584649036696,26469.0516699851
CLAIX-2023 (GPU segment),1633.0130311614723,17123.29396382654,5745.46088472434,72.12991065591629,16.19960775768139,1863.4177380692954,455.8847330573109,243.5857877533231,54305.97131401177
Pratyush,3108.6331620000983,417396.8103958534,8639.382299913597,1231.0892852279076,198.8276447990238,816.9303521520055,1871.6782068194511,324.62322894964143,867175.9491514303
Snellius Phase 1 GPU,1594.9718583708545,5824.274048301263,18987.520057306585,1.2104134261153334,40.34711420384765,2607.432255423654,853.3414654113794,280.03839234547684,60378.27120957835
Niagara,1485.4954103008306,19195.444835407136,32342.9046527012,6349.602276893998,772.521331233265,1133.8885808788727,259.9689374704659,317.2498606079693,123714.15177098749
Fritz,7045.042158125159,73872.23834663919,24786.706155034764,311.1783260365695,69.88732938449644,8039.039660056655,1966.7492557301055,1050.8624922740148,234283.4074465619
,1925.3353832032935,97664.26795165979,155745.73018204066,990.384139513537,1641.0804038549786,3492.3359339146355,2015.9879577787967,862.5267225026768,528675.2973489368
,1925.3353832032935,97664.26795165979,155745.73018204066,990.384139513537,1641.0804038549786,3492.3359339146355,2015.9879577787967,862.5267225026768,528675.2973489368
Anvil,1017.3231192854814,51604.57683482189,82294.09453877923,523.3065838246189,867.1263458890805,1845.306597945421,1065.2228050976096,455.74832491968783,279345.410301126
Altair,4593.028444444437,207499.06844444445,17752.881481481483,140.3036444444444,0.0,7619.431111111102,1443.1231999999993,651.3852148148146,479398.44308148144
Forerunner 1,509.9705172842547,109313.25624400466,59921.15349415567,108.52574555014715,259.38701744413237,2175.757700643042,711.4465541620771,57.90551932710387,346114.80558514217
ATOS THX.A.B,182.88022018634132,148.2459707066567,1289.0084242671787,106.84557157028642,337.1189706483048,487.62478846939183,93.44718912295022,46.78846054346346,5383.9191910291465
Pegasus,379.19770105869645,8989.569036319326,5461.395123876429,59.29643279296697,31.114756440488954,688.0684453039422,175.75980187664643,3.51551077443735,31575.833616885866
Cedar (GPU),500.8631280516602,6472.110568593475,10905.027563395808,2140.8895889116397,260.4703102850842,382.3121751456903,87.65348873838336,106.96684517246796,41712.58733658842
Topaz,6647.281745331271,337188.9963638931,537717.0949977052,3419.3327920358624,5665.882373707061,12057.401066120647,6960.262646944608,2977.900986691142,1825268.305944858
,448.9323613513583,22772.474247184662,36315.38641578705,230.92885233169736,382.6523458184769,814.3114343206117,470.0699120979981,201.11621156493797,123271.7435609136
Damson,15040.984360625573,6431.757129714791,95156.46734130634,242.49494020239115,957.2290708371662,14570.561177552898,1252.813247470099,1832.0229990800365,270968.6605335786
LLNL/NNSA CTS-1 MAGMA,1139.3505136442197,57794.519763241195,92165.22961603181,586.0769442581275,971.1377131358769,2066.650192395945,1192.995742577752,510.41510631788265,312852.7511832056
HPC2,8925.866593038312,26630.63828166652,135481.67834564706,2127.46043110671,0.0,21784.880798232905,3477.730520222406,631.6891137938914,398119.88816741563
Fênix,3376.229462407806,3851.7478112117424,5109.431268403486,2828.3859805378725,47.579160380268576,1780.5295717771028,678.3719296671239,300.85648616057637,35946.26334109196
Lichtenberg II (Phase 1),7234.07159412825,75854.34537134254,25451.77202400998,319.52772440024546,71.76251510529121,8254.739594682935,2019.5201965173637,1079.0587670120246,240569.59557439727
,8127.7309386803645,412286.03554441576,657474.7448217835,4180.86941222155,6927.759229710167,14742.764853320135,8510.41737423659,3641.124133012084,2231782.8926147604
CLAIX-2023 (CPU segment),7092.01120267834,74364.74192238358,24951.958240060223,313.2529408268784,70.35326571445543,8092.63565046851,1979.861502803146,1057.8685549931654,235845.3665598566
Thunder,6190.642390651992,314025.57835280825,500778.2684717759,3184.4394958873118,5276.660888904576,11229.110036361055,6482.122865111021,2773.332136301055,1699880.3092756025
HoreKa-Teal,520.0144218387843,5452.718160026942,1829.5766556389785,22.968949464133587,5.158580795974558,593.3841795598167,145.17130688008876,77.5671229620238,17293.118754333485
Komondor,619.7150837988825,3509.819888268157,5695.989944134077,8.129430167597707,294.13756424581004,323.3296089385454,487.7658100558658,11.154871508379829,21900.08440223463
Alps,217.32955988150604,0.0,1102.396318239516,4163.008463817181,1306.137156157427,3293.6902242911515,904.9548878544215,8.796672661870202,21992.626565806146
Helios CPU,2514.253688888885,113586.3416888889,9718.042962962962,76.80312888888886,0.0,4170.926222222217,789.9750399999997,356.5725096296295,262425.830482963
Numerical Materials Simulator,3861.815986028746,91551.34990281299,55619.80712573137,603.8852857889902,316.8781442708997,7007.409892354279,1789.9686909847946,35.80257915560773,321573.8352142553
Camphor 2,4179.723002239734,99087.91212716204,60198.463123205496,653.5974859646174,342.96374382097815,7584.2640921155025,1937.3199909226341,38.74986901954592,348045.9868689011
Barnard,5616.365439093483,58891.55480496841,19760.165613423404,248.0739158858138,55.71475266942682,6408.78840706036,1567.908651122249,837.7562050555675,186772.65557855743
Mistral,11700.324491372647,122686.15860060618,41165.47475187702,516.8013629430058,116.06806790942753,13351.144040095878,3266.3544048019967,1745.2602666455355,389095.1719725034
Henri,56.60786599357471,2871.4819458467186,4579.167608994951,29.118839834786563,48.25032583754013,102.68012849931148,59.2731932078935,25.359632170720506,15543.879080770994
"Karolina, CPU partition",3961.2865581517412,82870.27316881072,3831.6192570228386,185.29556313993143,1203.629299028616,2870.4975059070543,483.03544237332517,27.319217642425738,190865.91202415328
SuperMUC Phase 2,15525.261215554978,162793.3192119495,54622.82255987638,685.7481740921963,154.01171774401217,17715.7478753541,4334.1537574040685,2315.800860803502,516293.7307455575
,17877.284268629253,7644.602759889579,113100.25832566696,288.22255749769914,1137.7351241950319,17318.152713891443,1489.058031278746,2177.490193192272,322065.60794848204
,17877.284268629253,7644.602759889579,113100.25832566696,288.22255749769914,1137.7351241950319,17318.152713891443,1489.058031278746,2177.490193192272,322065.60794848204
JFRS-1,3897.0707008317568,92387.12683841304,56127.56317747235,609.3981853163752,319.77094098726167,7071.380894120417,1806.3094063206076,36.12942272399876,324509.4991323716
SNL/NNSA CTS-1 Attaway,963.3741659900394,48867.97048752073,77930.01376778337,495.5554771066467,821.1423730010233,1747.4494298725576,1008.7337169484938,431.57985314364373,264531.63854273304
LLNL/NNSA CTS-1 Jade,17494.87485437911,887442.3440533766,1415209.050022946,8999.287464256704,14911.945493698582,31733.681646485646,18318.604299784645,7837.4901330885705,4803894.555936032
LLNL CTS-1 Quartz,17494.87485437911,887442.3440533766,1415209.050022946,8999.287464256704,14911.945493698582,31733.681646485646,18318.604299784645,7837.4901330885705,4803894.555936032
Cedar (CPU),1279.6245077964998,16535.19861395494,27860.586549062835,5469.627594896834,665.4596314380216,976.745944243183,223.94052606709556,273.28303669869234,106568.9328083162
AlphaCentauri,1715.7330672160695,17990.671913072765,6036.496364824976,75.78364072188431,17.020196517363637,1957.8088908258874,478.9775074783573,255.9245901761128,57056.83234166683
Conesus,525.6811699085648,26665.62256269048,42523.81084595379,270.40810534119356,448.0700215342251,953.5249055671255,550.4323648815614,235.49873986538162,144346.09743148464
Mihir,2193.2009627013545,294481.5417846435,6095.251703846729,868.5573577925707,140.2767580669746,576.3602012297129,1320.5052610396863,229.02798147771713,611809.4440215965
Spartan2,224.74334286436738,182.18096516309566,1584.075423547488,131.3035980626713,414.28889537258556,599.2470093948743,114.83819104860812,57.49880998229951,6616.35247087198
,2447.325313021081,58018.28385117067,35247.60433345502,382.6965736894551,200.81327189667564,4440.76353464691,1134.346044143619,22.688952181034217,203789.04374840893
,2447.325313021081,58018.28385117067,35247.60433345502,382.6965736894551,200.81327189667564,4440.76353464691,1134.346044143619,22.688952181034217,203789.04374840893
PAI-BSystem,1614.5131554327365,176683.50964470976,5656.378341978875,1121.491354276454,195.7703452263787,1655.4374978196633,1052.2565988589345,382.3172330936117,376723.34834279283
cascade,1777.7464609736192,90177.6948729716,143806.85207281625,914.4650404207988,1515.2813923112217,3224.62668125816,1861.4499523422871,796.4086890010706,488149.05032419
occigen2,3038.795199470928,2463.301628056229,21418.56898329149,1775.3795880259077,5601.674738869113,8102.526696621315,1552.7478555172995,777.4517612962206,89460.89290229701
Excalibur,1882.7927800331731,95506.25837493085,152304.34077405534,968.5004096445075,1604.8187566632532,3415.1685670914635,1971.442276838351,843.4681561878534,516993.5801908896
CLAIX (2018),7255.564125676021,76079.70973077913,25527.389607559577,320.4770459002752,71.97572257770548,8279.264545652644,2025.5202202896253,1082.26466624735,241284.33132936462
Centennial,1072.5565714689103,54406.34047610642,86762.08199479882,551.7184311787333,914.2051752744726,1945.4936985914474,1123.0568715359898,480.49223649992337,294511.89091090945
Greene-H100,66.39574752003351,3367.9805259999284,5370.936548875629,34.15368348219009,56.59313234723052,120.43421470681666,69.5219277720902,29.744483478659923,18231.520528365156
PAI-ASystem,1682.7320211552465,184149.0100522327,5895.380243752631,1168.8783129078533,204.04233164439472,1725.3855611078184,1096.7181452895936,398.4714823792573,392641.23630093905
