Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
26,Voyager-EUS2,Microsoft Azure,United States,,253440,30050.0,39531.15,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",2021,41.9231062,-87.9182633
27,Crossroads,DOE/NNSA/LANL/SNL,United States,6283.91,660800,30034.7,40176.64,"HPE Cray EX, Xeon CPU Max 9480 56C 1.9GHz, Slingshot-11",2023,40.42103,-74.52878
28,Setonix – GPU,"Pawsey Supercomputing Centre, Kensington, Western Australia",Australia,476.63,181248,27160.0,34996.22,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,-31.9927517,115.8835581
29,Discovery 5,ExxonMobil,United States,964.0,232000,26130.0,30990.8,"HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2022,29.427884,-98.7988963
30,Polaris,DOE/SC/Argonne National Laboratory,United States,,256592,25810.0,34163.19,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",2021,34.088934,-88.505164
31,TSUBAME4.0,"GSIC Center, Tokyo Institute of Technology",Japan,732.06,172800,25460.0,59401.18,"HPE Cray XD665, AMD EPYC 9654 96C 2.4GHz, NVIDIA H100 SXM5 94 GB, Infiniband NDR200",2024,35.68536,139.75309
32,SSC-21,Samsung Electronics,South Korea,,204160,25177.0,31751.1,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",2021,36.7699807,127.0630792
33,Frontera,Texas Advanced Computing Center/Univ. of Texas,United States,,448448,23516.4,38745.907,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",2019,31.79426,-94.174438
34,Yep1,Ahrefs US DC,United States,,73584,23320.0,34579.64,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",2023,38.91706,-77.00025
35,BioHive-2,Recursion,United States,,40320,23320.0,34219.58,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, Infiniband NDR400",2024,40.7536919,-111.8317466
36,CEA-HF,Commissariat a l'Energie Atomique (CEA),France,4959.47,810240,23237.6,31761.4,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",2021,45.1996822,5.7031246
37,Dammam-7,Saudi Aramco,Saudi Arabia,,672520,22400.0,55423.56,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",2020,23.9494015,38.2920459
38,TAIPEI-1,NVIDIA Corporation,Taiwan,,40960,22300.0,34533.38,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2024,24.0,121.0
39,ABCI 2.0,National Institute of Advanced Industrial Science and Technology (AIST),Japan,1600.32,504000,22208.72,54340.99,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2021,35.68536,139.75309
40,Wisteria/BDEC-01 (Odyssey),"Information Technology Center, The University of Tokyo",Japan,1468.0,368640,22121.0,25952.26,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2021,35.71339,139.76232
41,DeepL Mercury,DeepL SE Super POD Cluster Mercury,Sweden,,40960,21850.0,33849.34,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",2023,62.0,15.0
42,Chervonenkis,Yandex,Russia,,193440,21530.0,29415.17,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",2021,55.7339688,37.5884817
43,Piz Daint,Swiss National Supercomputing Centre (CSCS),Switzerland,2384.24,387872,21230.0,27154.3,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",2017,46.0244656,8.9600452
44,kakaocloud,Kakao Enterprise,South Korea,,160704,21210.0,23656.15,"Supermicro AS-4124GO-NART, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB, InfiniBand HDR200",2024,36.5,127.75
45,Trinity,DOE/NNSA/LANL/SNL,United States,7578.1,979072,20158.7,41461.15,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",2017,40.42103,-74.52878
