Name,Country,Rmax [TFlop/s],Total_Power (kW),Average_Power(kW),Full_Energy(J/year),Average_Energy(kWh/year)
Fritz,Germany,3578.03,671.97,335.985,21191245920.0,294322.86
,United States,3577.0,1498.9,749.45,47269310400.0,656518.2
,United States,3577.0,1498.9,749.45,47269310400.0,656518.2
Anvil,United States,3563.1,792.0,396.0,24976512000.0,346896.0
Altair,Poland,3533.61,829.0,414.5,26143344000.0,363102.0
Forerunner 1,Taiwan,3532.92,614.87,307.435,19390540320.0,269313.06
ATOS THX.A.B,France,3505.0,86.06,43.03,2713988160.0,37694.28
Pegasus,Japan,3478.0,67.87,33.935,2140348320.0000002,29727.060000000005
Cedar (GPU),Canada,3371.0,310.0,155.0,9776160000.0,135780.0
Topaz,United States,3318.95,5175.0,2587.5,163198800000.0,2266650.0
,United States,3307.0,349.5,174.75,11021832000.0,153081.0
Damson,United Kingdom,3243.41,1134.0,567.0,35761824000.0,496692.0
LLNL/NNSA CTS-1 MAGMA,United States,3241.24,887.0,443.5,27972432000.0,388506.0
HPC2,Italy,3188.0,1227.0,613.5,38694672000.0,537426.0
Fênix,Brazil,3161.0,389.76,194.88,12291471360.0,170714.88
Lichtenberg II (Phase 1),Germany,3148.38,690.0,345.0,21759840000.0,302220.0
,United States,3143.52,6327.55,3163.775,199545616800.0,2771466.9
CLAIX-2023 (CPU segment),Germany,3133.42,676.45,338.225,21332527200.0,296285.1
Thunder,United States,3126.24,4819.5,2409.75,151987752000.0,2110941.0
HoreKa-Teal,Germany,3123.0,49.6,24.8,1564185600.0,21724.8
Komondor,Hungary,3105.0,110.24,55.12,3476528640.0,48285.12
Alps,Switzerland,3088.6,637.95,318.975,20118391200.0,279422.1
Helios CPU,Poland,3086.4,453.8,226.9,14311036800.0,198764.4
Numerical Materials Simulator,Japan,3082.12,691.2,345.6,21797683200.0,302745.6
Camphor 2,Japan,3057.35,748.1,374.05,23592081600.0,327667.8
Barnard,Germany,3047.36,535.7,267.85,16893835200.000002,234636.60000000003
Mistral,Germany,3010.68,1116.0,558.0,35194176000.0,488808.0
Henri,United States,2882.0,44.07,22.035,1389791520.0,19302.66
"Karolina, CPU partition",Czechia,2837.4,502.7,251.35,15853147200.0,220182.6
SuperMUC Phase 2,Germany,2813.62,1480.83,740.415,46699454880.0,648603.54
,United Kingdom,2801.782,1347.84,673.92,42505482240.0,590353.92
,United Kingdom,2801.782,1347.84,673.92,42505482240.0,590353.92
JFRS-1,Japan,2787.14,697.51,348.755,21996675360.0,305509.38
SNL/NNSA CTS-1 Attaway,United States,2724.52,750.0,375.0,23652000000.0,328500.0
LLNL/NNSA CTS-1 Jade,United States,2632.51,13620.0,6810.0,429520320000.0,5965560.0
LLNL CTS-1 Quartz,United States,2632.51,13620.0,6810.0,429520320000.0,5965560.0
Cedar (CPU),Canada,2607.98,792.0,396.0,24976512000.0,346896.0
AlphaCentauri,Germany,2592.0,163.65,81.825,5160866400.0,71678.7
Conesus,United States,2589.48,409.25,204.625,12906108000.0,179251.5
Mihir,India,2570.4,954.73,477.365,30108365280.0,418171.74
Spartan2,France,2566.0,105.76,52.88,3335247360.0,46322.88
,Japan,2547.81,438.03,219.015,13813714080.0,191857.14
,Japan,2547.81,438.03,219.015,13813714080.0,191857.14
PAI-BSystem,China,2547.0,710.0,355.0,22390560000.0,310980.0
cascade,United States,2539.13,1384.0,692.0,43645824000.0,606192.0
