Rank,Name,Site,Country,Computer,Year,Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Latitude,Longitude
12,Sierra,DOE/NNSA/LLNL,United States,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2018,1572480,94640.0,125712.0,40.42103,-74.52878
13,Sunway TaihuLight,National Supercomputing Center in Wuxi,China,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",2016,10649600,93014.59388,125435.904,31.56887,120.28857
14,Perlmutter,DOE/SC/LBNL/NERSC,United States,"HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2021,888832,79230.0,112997.79,34.088934,-88.505164
15,Selene,NVIDIA Corporation,United States,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,555520,63460.0,79215.0,30.4801362,-97.7931805
16,Tianhe-2A,National Super Computer Center in Guangzhou,China,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",2018,4981760,61444.5,100678.664,23.11667,113.25
17,CEA-HE,Commissariat a l'Energie Atomique (CEA),France,"BullSequana XH3000, Grace Hopper Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail BXI v2",2024,389232,57110.0,112560.0,45.1996822,5.7031246
18,Explorer-WUS3,Microsoft Azure,United States,"ND96_amsr_MI200_v4, AMD EPYC 7V12 48C 2.45GHz, AMD Instinct MI250X, Infiniband HDR",2023,445440,53960.0,86986.752,41.9231062,-87.9182633
19,ISEG,Nebius,Netherlands,"Gigabyte G593-SD0, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",2023,218880,46540.0,86792.19,52.25,5.75
20,Adastra,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),France,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,319072,46100.0,61607.94,46.453571,4.564357
21,JUWELS Booster Module,Forschungszentrum Juelich (FZJ),Germany,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2020,449280,44120.0,70980.0,50.9054008,6.4118689
22,MareNostrum 5 GPP,EuroHPC/BSC,Spain,"ThinkSystem SD650 v3, Xeon Platinum 03H-LC 56C 1.7GHz, Infiniband NDR200",2023,725760,40101.8,46371.2256,40.0,-4.0
23,Shaheen III - CPU,King Abdullah University of Science and Technology,Saudi Arabia,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,877824,35658.3,39607.42,22.3223754,39.1173835
24,HPC5,Eni S.p.A.,Italy,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",2020,669760,35450.0,51720.76,40.8482029,14.299961
25,Sejong,NAVER Corp,South Korea,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2023,277760,32970.0,40772.48,36.5,127.75
