Rank,Name,Country,Rmax [TFlop/s],Power (kW)
473,Tethys,United States,2255.0,71.5
474,Makman-2,Saudi Arabia,2249.68,1134.0
479,,China,2192.0,740.0
481,MN-3,Japan,2179.6,53.29
482,Marvin (Scalable GPU Partition),Germany,2177.0,90.74
483,Rockfish,United States,2175.0,450.0
493,,China,2152.0,1625.0
494,Lise GPU-X,Germany,2146.0,133.23
497,Phoenix - 2022,Australia,2134.0,68.71
500,HSUper,Germany,2129.92,394.7
